"2022/11/01 TWSE Indices"
"Index","Closing Index","Dir(+/-)","Change","Change(%)","Note",
"2546","38,917","61","1,775,874","45.70","45.80","45.20","45.80","+","0.10","45.75","2","45.95","4","7.67",
"2547","315,434","159","2,880,429","9.14","9.17","9.09","9.11","+","0.03","9.11","4","9.13","9","36.44",
"2548","378,628","516","32,440,738","86.10","86.10","85.50","85.50","-","0.60","85.50","28","85.80","1","4.60",
"2597","154,887","131","14,163,538","89.60","93.00","89.00","92.00","+","2.40","91.90","2","92.00","1","9.39",
"2601","1,225,108","449","9,853,728","8.02","8.09","8.00","8.02","+","0.01","8.02","13","8.03","15","30.85",
"2603","28,916,372","13,486","3,928,542,006","138.00","138.50","134.00","135.00","-","2.50","134.50","400","135.00","508","1.96",
"2605","2,096,061","1,077","36,753,866","17.65","17.70","17.40","17.50","-","0.15","17.45","43","17.50","16","20.83",
"2606","3,415,829","2,081","120,216,823","35.40","35.65","34.85","35.25","+","0.05","35.20","10","35.25","9","5.33",
"2607","3,964,365","1,707","105,429,504","25.90","27.00","25.90","26.50","+","0.50","26.50","21","26.55","8","10.43",
"2608","847,763","668","30,509,043","34.90","36.60","34.90","35.90","+","1.00","35.85","1","35.95","1","12.09",
"2609","39,904,928","19,087","2,382,366,441","60.60","60.80","58.80","59.10","-","1.10","59.10","487","59.20","148","0.93",
"2610","23,007,968","7,670","391,203,849","17.00","17.15","16.85","17.00","+","0.05","17.00","334","17.05","368","7.17",
"2611","534,727","301","6,498,171","12.15","12.30","12.00","12.20","+","0.05","12.15","4","12.20","5","0.00",
"2612","378,149","355","12,053,933","32.10","32.45","31.50","31.60","-","0.50","31.55","5","31.60","6","16.29",
"2613","970,795","342","19,841,182","20.50","20.65","19.90","20.35","+","0.35","20.35","10","20.45","1","10.49",
"2614","22,795,113","13,079","495,248,130","21.05","22.30","21.00","21.55","+","0.75","21.55","38","21.60","47","19.77",
"2615","16,693,720","16,722","1,102,699,352","68.00","68.70","65.90","66.00","-","1.70","66.00","65","66.10","3","1.15",
"2616","32,421","55","1,056,559","32.50","33.05","32.40","32.70","+","0.10","32.60","1","32.75","3","9.65",
"2617","904,815","560","20,978,917","23.25","23.40","23.05","23.15","-","0.10","23.15","8","23.20","13","4.38",
"2618","33,812,312","11,106","798,719,743","23.50","23.85","23.10","23.85","+","0.45","23.80","659","23.85","703","9.21",
"2630","35,538","55","577,908","16.15","16.35","16.15","16.30","+","0.20","16.25","1","16.35","6","101.88",
"2633","1,717,065","964","48,066,709","27.95","28.20","27.80","27.85","-","0.25","27.85","10","27.90","7","60.54",
"2634","3,982,234","1,996","126,488,142","31.50","31.95","31.50","31.80","+","0.45","31.80","35","31.85","73","24.46",
"2636","637,115","551","38,966,846","60.80","62.00","60.40","60.80","+","0.10","60.70","6","60.80","1","2.23",
"2637","6,527,535","4,229","336,716,811","52.00","52.60","51.00","51.10","-","1.20","51.00","360","51.10","47","3.03",
"2642","1,200,063","997","53,530,717","42.95","46.30","42.85","43.70","+","1.30","43.70","6","43.75","1","20.14",
"2701","60,360","27","724,588","12.00","12.05","12.00","12.00","+","0.05","12.00","1","12.05","27","33.33",
"2702","947,267","616","20,362,945","21.05","21.95","21.05","21.25","-","0.30","21.25","6","21.30","6","1.19",
"2704","70,767","71","2,207,439","31.10","31.35","31.05","31.15","-","0.05","31.15","8","31.25","1","311.50",
"2705","74,853","70","1,193,519","15.80","16.05","15.80","15.95","+","0.15","15.90","2","15.95","8","0.00",
"2706","77,811","62","1,083,874","13.85","14.00","13.85","13.95","+","0.10","13.95","4","14.00","43","31.00",
"2707","251,989","664","45,357,295","178.50","181.00","178.00","180.00","+","1.00","180.00","32","180.50","2","10.73",
"2712","42","4","1,431","--","--","--","--"," ","0.00","33.40","2","33.95","1","0.00",
"2722","41,000","36","1,272,950","31.35","31.45","30.80","31.30","+","0.70","31.10","1","31.30","1","55.89",
"2723","282,084","242","27,569,841","98.10","98.30","97.20","97.50","-","0.60","97.50","2","97.80","1","27.62",
"2727","118,072","267","14,738,271","124.50","126.00","124.00","124.00","-","1.00","124.00","17","124.50","3","0.00",
"2731","2,116,965","1,473","178,544,504","80.10","85.80","80.10","84.50","+","2.70","84.50","16","84.70","1","0.00",
"2739","15,056","24","404,757","27.15","27.15","26.80","26.95","-","0.05","26.75","2","26.95","2","0.00",
"2748","208,986","126","9,382,501","44.10","45.40","43.90","45.20","+","0.60","45.20","2","45.30","1","122.16",
"2753","406,364","758","70,398,966","174.50","177.50","171.50","172.50","-","3.00","172.50","4","173.00","1","19.69",
"2801","3,101,670","1,010","51,678,437","16.55","16.70","16.50","16.70","+","0.10","16.65","202","16.70","151","17.58",
"2809","1,971,681","1,175","60,972,742","30.70","31.20","30.55","30.85","+","0.15","30.85","21","31.00","20","42.26",
"2812","2,812,160","1,399","35,190,452","12.40","12.60","12.40","12.50","X","0.00","12.50","525","12.55","203","11.06",
"2816","55,509","37","798,757","14.30","14.50","14.30","14.40","+","0.10","14.35","2","14.45","1","0.00",
"2820","332,302","225","4,738,218","14.30","14.30","14.15","14.25","+","0.05","14.25","5","14.30","40","13.07",
"2832","71,122","50","1,408,425","19.70","19.90","19.70","19.90","+","0.10","19.85","18","19.90","9","7.18",
"2834","27,365,814","4,785","328,707,967","12.05","12.10","11.95","12.05","+","0.10","12.00","661","12.05","64","13.85",
"2836","196,023","162","2,424,003","12.25","12.45","12.20","12.35","+","0.05","12.35","21","12.45","36","14.53",
"2836A","0","0","0","--","--","--","--"," ","0.00","21.70","2","21.80","14","0.00",
"2838","1,479,209","728","22,778,420","15.20","15.60","15.10","15.50","+","0.35","15.45","6","15.50","62","16.15",
"2838A","26,656","26","1,309,635","49.10","49.35","49.10","49.35","-","0.05","49.20","13","49.35","6","0.00",
"2845","4,528,442","1,384","47,925,429","10.60","10.65","10.50","10.55","-","0.05","10.55","466","10.60","129","11.85",
"2849","128,020","75","1,875,534","14.60","14.75","14.60","14.75","+","0.40","14.60","4","14.65","1","12.83",
"2850","257,374","242","11,461,906","43.95","44.90","43.95","44.60","+","0.55","44.60","3","44.70","4","6.67",
"2851","1,044,424","342","19,018,199","17.80","18.45","17.80","18.35","+","0.55","18.35","13","18.40","46","11.19",
"2852","194,352","86","2,744,061","14.00","14.15","14.00","14.15","+","0.10","14.10","59","14.15","2","6.52",
"2855","407,867","251","6,013,745","14.65","14.80","14.60","14.75","+","0.10","14.70","28","14.75","7","26.82",
"2867","14,906,489","2,904","81,225,172","5.49","5.50","5.42","5.44","-","0.04","5.43","148","5.44","244","0.00",
"2880","7,918,022","2,022","168,604,569","21.05","21.45","21.00","21.40","+","0.35","21.35","40","21.40","179","17.69",
"2881","9,062,244","7,164","468,683,436","51.30","52.00","51.10","52.00","+","1.00","51.90","170","52.00","681","5.51",
"2881A","163,504","60","9,527,753","58.00","58.40","58.00","58.30","+","0.30","58.20","16","58.30","2","0.00",
"2881B","79,065","47","4,385,515","55.40","56.50","55.40","55.50"," ","0.00","55.40","4","55.50","26","0.00",
"2881C","36,377","49","1,971,806","54.20","54.30","54.10","54.20","-","0.10","54.10","15","54.50","4","0.00",
"2882","14,063,537","5,787","534,254,959","37.80","38.15","37.60","38.10","+","0.30","38.10","301","38.15","217","5.76",
"2882A","160,005","58","8,762,573","54.80","54.90","54.70","54.80","+","0.10","54.60","23","54.70","1","0.00",
"2882B","11,014","14","609,872","55.40","55.50","55.20","55.40"," ","0.00","55.20","8","55.40","13","0.00",
"2883","24,377,026","4,769","290,001,046","11.75","12.00","11.65","11.95","+","0.20","11.90","508","11.95","307","6.95",
"2883B","752,636","160","5,689,910","7.56","7.57","7.55","7.56","-","0.01","7.55","286","7.56","7","0.00",
"2884","12,692,460","4,680","296,934,014","23.25","23.50","23.20","23.40","+","0.20","23.35","331","23.40","99","18.00",
"2885","15,029,117","4,135","300,027,695","19.75","20.10","19.70","20.05","+","0.35","20.00","106","20.05","140","9.11",
"2886","23,640,371","10,463","703,665,617","29.95","30.00","29.60","29.75","-","0.15","29.70","106","29.75","15","19.07",
"2887","13,235,629","3,515","178,301,568","13.35","13.60","13.30","13.55","+","0.30","13.50","192","13.55","408","13.97",
"2887E","145,258","89","6,877,993","47.30","47.75","47.25","47.45","+","0.15","47.30","5","47.45","2","0.00",
"2887F","18,005","10","820,825","45.50","45.80","45.50","45.80","+","0.20","45.55","3","45.80","2","0.00",
"2887Z1","7,792","9","129,324","16.55","16.80","16.55","16.80","+","0.25","16.60","1","16.70","3","0.00",
"2888","19,746,035","3,598","159,703,476","8.02","8.12","8.02","8.12","+","0.12","8.11","346","8.12","854","10.68",
"2888A","718","7","25,490","--","--","--","--"," ","0.00","35.40","3","35.50","4","0.00",
"2888B","135,299","70","4,778,751","35.35","35.40","35.30","35.35","-","0.10","35.30","24","35.35","28","0.00",
"2889","8,801,096","2,344","96,701,404","11.05","11.05","10.90","11.05","-","0.05","11.00","148","11.05","174","13.81",
"2890","20,015,142","2,926","325,601,004","16.15","16.40","16.10","16.30","+","0.20","16.25","338","16.30","940","11.56",
"2891","36,708,612","10,870","768,133,196","20.70","21.10","20.55","21.10","+","0.70","21.05","41","21.10","767","9.38",
"2891B","12","1","712","--","--","--","--"," ","0.00","58.60","7","59.20","4","0.00",
"2891C","14,557","23","846,286","58.10","58.50","58.00","58.30","-","0.20","57.60","2","58.00","1","0.00",
"2892","10,215,185","2,918","253,537,654","24.70","24.95","24.55","24.90","+","0.15","24.85","66","24.90","145","16.94",
"2897","2,359,120","849","18,932,462","8.01","8.07","7.95","8.04","+","0.10","8.04","30","8.05","5","12.97",
"2897A","8,100","105","80,040","9.89","9.90","9.89","9.89","-","0.04","9.89","3","9.90","1","0.00",
"2901","12,279","21","288,595","23.50","23.50","23.50","23.50","X","0.00","23.40","1","23.50","1","130.56",
"2903","456,812","217","8,289,492","18.15","18.25","18.05","18.10","+","0.10","18.05","89","18.10","341","22.35",
"2904","21,197","25","375,833","17.50","17.80","17.50","17.75","+","0.10","17.70","2","17.75","1","20.64",
"2905","229,943","150","3,287,042","14.15","14.40","14.15","14.30","+","0.15","14.30","2","14.35","11","0.00",
"2906","699,532","384","10,291,771","14.60","14.85","14.50","14.65","+","0.30","14.65","13","14.70","11","22.20",
"2908","46,657","38","950,924","20.40","20.45","20.30","20.40","+","0.20","20.40","25","20.45","3","15.45",
"2910","38,000","30","1,261,350","33.15","33.50","32.80","33.00","+","0.10","33.15","1","33.25","2","53.23",
"2911","26,155","53","166,573","6.35","6.37","6.35","6.36","+","0.01","6.36","6","6.39","2","0.00",
"2912","641,964","701","173,080,375","267.50","271.00","267.50","270.00","+","2.00","269.00","12","270.00","8","31.18",
"2913","272,678","180","5,616,026","20.60","20.65","20.50","20.55"," ","0.00","20.55","12","20.65","12","0.00",
"2915","3,916,017","2,421","219,933,271","55.20","56.70","55.20","56.70","+","1.50","56.70","138","56.80","96","2.54",
"2923","102","5","2,182","--","--","--","--"," ","0.00","20.65","2","21.20","2","40.00",
"2929","55,373","42","536,803","9.64","9.76","9.64","9.71","+","0.07","9.71","2","9.72","3","0.00",
"2939","123,047","99","4,372,777","35.30","36.10","35.15","35.15","-","0.15","35.15","3","35.25","1","76.41",
"2945","8,050","9","277,550","34.60","34.60","34.30","34.45","-","0.15","34.35","4","34.50","2","17.22",
"3002","259,107","181","2,983,693","11.25","11.95","11.20","11.65","+","0.40","11.65","3","11.75","4","0.00",
"3003","548,926","808","38,203,302","68.40","69.90","68.40","69.90","+","1.20","69.80","8","69.90","16","11.55",
"3004","306,201","201","18,630,348","60.00","61.90","60.00","61.90","+","3.10","61.70","4","62.00","6","37.74",
"3005","1,130,369","894","43,930,080","38.85","39.05","38.70","38.70","-","0.25","38.65","25","38.70","4","10.96",
"3006","3,162,383","2,041","197,987,067","62.60","63.30","62.00","62.20","-","0.20","62.10","137","62.20","13","5.45",
"3008","374,459","1,232","693,518,875","1,845.00","1,865.00","1,825.00","1,845.00","-","5.00","1,840.00","6","1,850.00","10","10.37",
"3010","79,362","93","6,359,237","80.40","80.40","79.90","80.00","-","0.40","80.00","15","80.10","1","6.23",
"3011","522,002","196","7,074,526","13.25","13.90","13.20","13.50","+","0.35","13.50","8","13.55","12","15.52",
"3013","116,122","88","1,607,021","13.65","13.95","13.65","13.85","+","0.30","13.85","10","13.90","6","0.00",
"3014","270,749","287","16,298,336","59.70","60.70","59.60","60.20","+","0.70","60.10","4","60.20","1","5.82",
"3015","48,001","37","1,778,235","36.95","37.15","36.95","37.15","+","0.20","37.15","1","37.20","2","9.17",
"3016","1,030,271","958","71,408,850","68.90","69.90","68.30","69.30","+","0.30","69.30","1","69.40","4","31.36",
"3017","3,121,427","3,130","319,249,664","102.00","103.50","101.00","102.50","+","0.50","102.00","499","102.50","44","10.63",
"3018","36,931","100","292,414","7.85","8.00","7.85","7.94","-","0.06","7.95","1","8.00","5","0.00",
"3019","523,559","497","30,265,962","57.20","58.10","57.10","57.90","+","0.60","57.90","13","58.00","29","13.88",
"3021","813,051","316","18,043,574","22.00","22.50","21.95","21.95","+","0.05","21.95","2","22.00","2","12.33",
"3022","829,496","583","44,496,331","53.00","54.00","53.00","53.70","+","0.70","53.60","28","53.70","6","9.87",
"3023","312,331","413","78,505,852","251.50","253.00","249.50","253.00","+","2.50","252.00","5","253.50","5","21.83",
"3024","271,203","102","3,418,707","12.55","12.70","12.55","12.55","-","0.05","12.55","11","12.60","5","48.27",
"3025","396,056","242","8,226,713","20.30","20.95","20.30","20.85","+","0.30","20.85","3","20.90","2","15.80",
"3026","71,235","291","6,230,878","87.20","88.00","87.20","87.50","+","0.20","87.30","4","87.50","5","8.22",
"3027","1,944,271","1,110","44,946,548","22.25","23.70","22.20","23.40","+","0.95","23.35","1","23.40","17","60.00",
"3028","78,688","121","2,028,269","25.65","25.90","25.65","25.85","+","0.15","25.80","2","25.90","6","6.29",
"3029","205,722","223","7,906,872","38.50","38.50","38.35","38.40","-","0.05","38.40","7","38.45","13","9.75",
"3030","265,790","216","16,135,155","60.50","60.90","60.40","60.80","+","0.60","60.70","1","60.90","21","8.66",
"3031","98,130","67","1,404,668","14.20","14.40","14.20","14.35","+","0.10","14.35","32","14.45","19","12.59",
"3032","42,002","35","1,115,854","26.40","26.85","26.40","26.60","+","0.15","26.50","5","26.75","7","9.78",
"3033","2,323,499","1,203","59,135,240","25.65","25.65","25.25","25.50","-","0.20","25.45","70","25.50","8","5.28",
"3034","2,092,607","4,340","509,268,719","242.50","246.00","240.50","243.50","+","2.50","243.00","36","243.50","14","4.25",
"3035","24,580,239","15,026","3,566,923,873","141.00","147.00","140.50","146.50","+","4.50","146.50","1","147.00","507","15.12",
"3036","1,365,580","1,115","79,119,180","57.80","58.30","57.40","58.00","-","0.30","58.00","16","58.10","3","6.68",
"3036A","23,000","21","1,062,200","46.20","46.20","46.15","46.15"," ","0.00","46.15","1","46.20","6","0.00",
"3037","23,587,355","13,044","2,942,353,991","124.00","126.00","123.50","125.00","+","0.50","124.50","717","125.00","198","6.78",
"3038","671,987","334","13,255,945","19.65","19.80","19.45","19.80","+","0.15","19.80","1","19.85","33","9.17",
"3040","6,005","5","179,600","30.00","30.00","29.75","29.75","-","0.20","29.55","1","29.75","1","22.20",
"3041","546,570","372","9,927,490","18.00","18.30","17.80","18.25","+","0.30","18.20","4","18.25","7","67.59",
"3042","835,240","702","63,968,305","75.30","76.90","75.30","76.90","+","0.60","76.80","10","76.90","12","7.74",
"3043","247,543","97","1,593,180","6.40","6.49","6.40","6.42"," ","0.00","6.41","11","6.42","27","22.93",
"3044","627,094","525","56,169,439","89.20","90.00","89.00","89.40","+","0.20","89.40","8","89.50","2","7.79",
"3045","2,014,196","1,146","190,933,651","95.30","95.40","94.20","94.40","-","0.70","94.30","56","94.40","52","24.14",
"3046","43,995,513","22,947","2,254,123,111","50.50","53.90","50.10","52.00","+","3.00","52.00","67","52.10","3","17.93",
"3047","5,269,256","2,198","80,415,976","14.95","15.45","14.95","15.35","+","0.40","15.35","20","15.40","103","23.26",
"3048","223,511","155","6,149,291","27.60","27.60","27.30","27.60","+","0.40","27.55","1","27.60","17","6.13",
"3049","2,249,356","830","21,091,222","9.23","9.44","9.22","9.42","+","0.20","9.41","7","9.42","1","25.46",
"3050","1,598,188","477","24,985,233","15.25","15.90","15.25","15.70","+","0.45","15.65","22","15.70","1","28.04",
"3051","994,850","509","17,048,084","16.85","17.30","16.70","17.30","+","0.60","17.25","13","17.30","35","7.33",
"3052","32,544","25","321,031","9.85","9.89","9.85","9.89","+","0.04","9.87","6","9.89","22","15.95",
"3054","1,001","2","19,969","19.95","19.95","19.95","19.95","+","0.25","19.50","2","19.90","2","0.00",
"3055","69,045","57","1,801,361","25.90","26.50","25.90","26.10","+","0.20","26.05","2","26.10","1","0.00",
"3056","243,638","173","7,220,556","29.60","29.75","29.45","29.75","+","0.35","29.65","2","29.75","4","31.99",
"3057","85,799","89","864,390","9.92","10.15","9.92","10.15","+","0.17","10.10","10","10.15","6","23.07",
"3058","123,553","84","1,151,013","9.30","9.37","9.21","9.30","+","0.02","9.30","6","9.36","2","0.00",
"3059","5,212,558","2,065","175,759,227","33.45","34.05","33.25","33.65","+","0.10","33.60","152","33.65","25","26.50",
"3060","143,337","156","2,316,351","16.05","16.30","15.90","16.30","+","0.20","16.25","9","16.30","4","8.96",
"3062","2,479,346","1,330","55,034,399","22.00","22.35","21.90","22.30","+","0.45","22.30","16","22.35","70","0.00",
"3090","250,011","206","12,108,941","47.95","48.80","47.75","48.75","+","1.20","48.65","2","48.75","14","9.63",
"3092","521,101","170","17,912,773","34.40","34.90","34.00","34.80","+","0.75","34.75","11","34.80","1","51.94",
"3094","119,226","100","2,881,723","24.10","24.35","24.00","24.10","+","0.25","24.10","1","24.20","5","25.37",
"3130","3,324","21","631,938","190.00","190.00","190.00","190.00"," ","0.00","189.50","2","190.50","5","14.51",
"3138","325,047","320","40,941,701","125.00","127.00","124.50","126.00","+","0.50","126.00","2","126.50","7","21.11",
"3149","1,053,040","554","22,038,668","20.90","21.20","20.75","20.80","-","0.10","20.80","35","20.90","30","0.00",
"3164","47,293","48","1,019,459","21.10","22.00","21.10","21.90","+","0.80","21.65","1","21.75","2","18.40",
"3167","138,426","114","5,591,500","40.70","40.90","39.60","40.70","-","0.10","40.65","1","40.75","1","5.97",
"3189","15,233,700","9,506","1,605,050,052","105.50","107.00","104.00","105.00","+","0.50","105.00","55","105.50","277","6.65",
"3209","739,335","410","22,798,600","30.45","31.00","30.40","30.85","+","0.40","30.80","43","30.85","35","5.94",
"3229","16,360","22","325,043","19.30","20.10","19.30","20.10","+","0.20","20.00","2","20.10","9","0.00",
"3231","6,840,283","2,113","177,883,841","26.05","26.35","25.85","26.20","+","0.15","26.20","53","26.25","45","7.77",
"3257","17,761","34","663,738","37.85","37.85","37.15","37.35","+","0.20","37.35","2","37.40","5","14.88",
"3266","21,000","18","230,900","11.05","11.05","10.90","11.00","+","0.10","10.90","6","11.00","3","12.22",
"3296","1,583,026","1,079","26,268,741","15.90","17.15","15.85","17.10","+","1.30","17.00","17","17.15","16","0.00",
"3305","514,258","383","19,674,104","37.30","38.90","37.25","38.45","+","1.10","38.45","6","38.50","7","5.84",
"3308","3,110","5","35,952","11.55","11.55","11.55","11.55"," ","0.00","11.60","1","12.15","1","0.00",
"3311","37,880","36","1,188,122","31.40","31.70","30.95","31.45","+","0.05","31.35","9","31.50","2","24.96",
"3312","150,802","134","2,616,922","17.25","17.45","17.15","17.40","+","0.15","17.35","3","17.40","40","4.92",
"3321","213,044","110","1,832,039","8.40","8.81","8.30","8.66","+","0.35","8.64","2","8.72","3","0.00",
"3338","210,791","169","6,628,692","31.00","31.90","30.80","31.90","+","1.10","31.85","9","31.90","3","10.39",
"3346","773,064","562","22,492,371","28.85","29.50","28.30","29.35","+","0.35","29.30","23","29.40","2","0.00",
"3356","9,037,687","5,550","314,022,201","33.45","35.80","33.10","34.50","+","1.30","34.45","30","34.50","1","26.54",
"3376","257,815","244","19,993,785","77.30","78.00","77.10","77.60","-","0.30","77.60","1","77.90","2","11.62",
"3380","996,864","652","27,195,012","26.80","27.60","26.65","27.50","+","0.65","27.50","2","27.55","15","18.97",
"3406","3,552,149","3,923","1,079,067,278","299.50","309.00","298.50","302.00","+","1.50","301.50","82","302.00","4","13.10",
"3413","502,423","393","84,502,224","167.00","170.00","166.50","170.00","+","3.00","169.50","16","170.50","21","8.63",
"3416","139,223","132","11,243,423","80.60","81.50","80.30","80.40"," ","0.00","80.30","5","80.50","2","14.01",
"3419","388,797","173","5,996,266","15.20","15.60","15.20","15.55","+","0.35","15.50","3","15.55","5","0.00",
"3432","996,729","644","17,283,851","17.30","17.65","17.00","17.30","-","0.10","17.25","12","17.30","11","10.55",
"3437","68,157","107","1,120,667","16.25","16.50","16.25","16.40","+","0.20","16.40","3","16.45","4","49.70",
"3443","11,006,513","9,443","5,360,505,322","483.00","493.50","478.00","493.50","+","6.00","493.00","7","493.50","13","22.97",
"3450","158,168","138","5,586,742","35.10","35.60","34.95","35.40","+","0.30","35.40","4","35.50","1","16.70",
"3454","16,693,944","10,462","2,368,857,141","132.00","147.00","132.00","147.00","+","13.00","147.00","3,690","--","0","23.98",
"3481","82,577,279","15,198","1,012,964,332","11.90","12.45","11.90","12.40","+","0.55","12.35","988","12.40","1,906","6.02",
"3494","671,392","299","5,672,371","8.32","8.54","8.30","8.46","+","0.07","8.45","3","8.47","4","0.00",
"3501","57,008","52","2,572,369","45.40","45.40","45.00","45.30","+","0.35","45.25","2","45.30","4","11.53",
"3504","1,641,521","1,296","123,328,322","73.90","76.00","73.90","75.60","+","1.30","75.50","2","75.60","32","58.60",
"3515","1,196,167","1,107","117,197,811","97.00","99.50","96.50","99.20","+","1.20","99.00","2","99.30","10","6.25",
"3518","97,006","84","1,937,769","19.85","20.20","19.85","20.05","+","0.20","19.95","1","20.05","1","43.59",
"3528","34,020","33","1,732,618","50.80","51.00","50.80","51.00","+","0.20","50.80","1","51.00","5","9.60",
"3530","78,193","83","5,416,271","68.80","70.00","68.70","69.00","+","0.20","68.90","4","69.00","1","9.86",
"3532","1,928,479","1,589","279,766,699","144.50","147.00","143.00","144.50","-","1.00","144.50","44","145.00","24","18.13",
"3533","588,748","638","459,272,809","768.00","785.00","768.00","782.00","+","6.00","782.00","1","783.00","4","17.22",
"3535","1,824,122","891","46,743,025","25.10","25.95","24.90","25.90","+","0.80","25.85","30","25.90","14","9.18",
"3536","18,001","11","75,903","4.20","4.23","4.20","4.20","+","0.05","4.00","2","4.20","1","0.00",
"3543","20,004","21","397,979","20.00","20.00","19.70","19.90","+","0.05","19.90","1","19.95","1","0.00",
"3545","3,718,795","3,117","253,276,403","68.30","69.00","67.50","68.00","-","0.50","68.00","9","68.10","8","3.67",
"3550","32,116","29","426,990","13.25","13.35","13.25","13.35","+","0.10","13.30","2","13.35","3","95.36",
"3557","31,426","42","1,330,105","42.95","42.95","42.15","42.25","+","0.05","42.20","2","42.40","4","6.40",
"3563","55,474","71","6,565,894","117.00","119.50","117.00","118.50","+","1.50","118.00","2","118.50","1","6.86",
"3576","3,074,100","1,131","65,190,213","21.20","21.30","21.05","21.15","+","0.15","21.15","51","21.20","1","141.00",
"3583","276,050","224","17,475,373","63.10","63.70","62.70","63.50","+","0.90","63.50","4","63.70","3","9.71",
"3588","4,487,426","3,349","253,151,229","55.40","57.50","55.40","56.20","-","0.40","56.20","20","56.50","4","7.99",
"3591","221,625","141","3,127,508","14.15","14.25","13.85","14.10","+","0.15","14.10","9","14.15","2","21.69",
"3592","421,405","548","99,556,825","234.50","238.50","232.00","237.00","+","4.00","237.00","1","237.50","3","3.34",
"3593","7,008","11","96,103","13.75","13.80","13.40","13.80","+","0.05","13.45","1","13.80","1","0.00",
"3596","1,714,227","1,831","155,110,725","90.20","91.60","89.80","90.00","-","0.20","89.90","58","90.20","6","11.21",
"3605","432,290","268","13,330,466","30.20","31.15","30.00","30.90","+","0.70","30.90","10","30.95","7","9.01",
"3607","81,103","59","958,664","11.80","11.95","11.70","11.80"," ","0.00","11.80","8","11.85","1","0.00",
"3617","207,010","158","19,408,230","93.20","94.50","92.40","94.40","+","1.70","93.90","1","94.40","11","25.51",
"3622","165,002","103","4,320,400","25.90","26.70","25.75","26.45","+","0.95","26.45","1","26.50","1","10.50",
"3645","294,191","235","9,010,260","30.10","30.80","30.10","30.60","+","0.15","30.60","5","30.70","3","10.55",
"3652","26,024","21","562,112","21.85","21.85","21.30","21.85","+","0.25","21.75","2","21.90","1","23.24",
"3653","992,370","1,022","354,449,012","347.00","362.50","347.00","355.50","+","4.50","355.50","3","356.00","9","23.68",
"3661","9,213,079","8,586","6,112,379,018","645.00","677.00","639.00","676.00","+","27.00","676.00","108","677.00","38","30.38",
"3665","1,311,585","1,169","328,125,976","248.00","253.00","246.00","250.00","+","3.50","249.50","24","250.00","9","13.14",
"3669","90,602","73","3,624,346","39.15","40.45","39.05","40.40","+","1.20","40.10","2","40.40","10","7.98",
"3673","689,656","488","19,979,638","28.55","29.15","28.50","29.05","+","0.55","29.05","6","29.10","11","16.89",
"3679","60,654","222","5,225,212","85.60","86.50","85.10","86.10","-","0.20","86.00","2","86.40","3","6.41",
"3682","1,019,213","328","6,420,858","6.37","6.37","6.26","6.29","-","0.04","6.29","10","6.30","25","0.00",
"3686","177,924","196","1,889,349","10.40","10.80","10.40","10.55","+","0.20","10.55","3","10.60","3","0.00",
"3694","1,310,575","648","25,898,966","18.55","20.20","18.55","19.35","+","0.95","19.35","3","19.55","12","11.18",
"3701","566,611","433","19,701,735","33.85","35.20","33.85","35.15","+","1.30","35.15","4","35.20","18","20.44",
"3702","2,383,007","1,465","104,900,774","43.90","44.25","43.80","44.25","+","0.30","44.20","27","44.25","6","6.80",
"3702A","28,000","18","1,298,750","46.40","46.40","46.35","46.35","-","0.15","46.35","10","46.40","81","0.00",
"3703","1,050,481","622","29,314,560","27.95","28.10","27.70","27.85","-","0.05","27.85","7","27.90","2","6.58",
"3704","410,431","409","10,650,612","25.70","26.10","25.70","26.00","+","0.35","26.00","7","26.05","4","11.26",
"3705","65,863","62","2,570,012","38.80","39.25","38.80","39.15","+","0.25","39.10","5","39.15","6","11.83",
"3706","1,088,418","579","29,644,179","27.10","27.30","27.00","27.25","+","0.15","27.25","26","27.30","90","3.47",
"3708","1,050,351","888","96,322,618","89.20","92.60","89.20","91.90","+","2.70","91.80","20","91.90","9","35.21",
"3711","7,941,201","4,908","634,932,629","79.90","80.50","79.20","80.00","-","0.40","79.90","21","80.00","116","4.64",
"3712","71,762","56","1,689,013","23.30","23.60","23.30","23.55","+","0.25","23.55","5","23.60","2","10.85",
"3714","1,114,342","755","46,014,278","41.10","41.50","40.80","41.35","+","0.25","41.35","17","41.40","18","9.78",
"3715","1,125,403","572","18,506,040","16.25","16.65","16.15","16.50","+","0.30","16.45","37","16.50","17","0.00",
"4104","181,439","314","11,175,558","61.30","62.00","61.20","61.40","-","0.30","61.40","1","61.50","2","13.38",
"4106","116,544","104","2,740,250","23.20","23.60","23.20","23.50","+","0.30","23.50","1","23.60","31","19.58",
"4108","103,354","111","1,797,681","17.35","17.50","17.30","17.40","+","0.05","17.35","7","17.40","9","0.00",
"4119","130,369","130","11,361,710","87.00","87.60","86.60","87.40","+","1.00","87.40","2","87.50","7","43.48",
"4133","342,326","267","11,830,313","34.50","34.90","34.30","34.30","-","0.15","34.30","6","34.40","1","43.42",
"4137","69,182","75","10,252,060","148.00","149.50","146.50","147.50"," ","0.00","147.00","10","148.00","1","11.10",
"4142","784,423","513","26,167,446","33.25","33.55","32.95","33.50","+","0.65","33.45","8","33.50","14","53.17",
"4148","394,362","360","21,382,805","52.60","55.10","52.50","54.40","+","1.70","54.40","5","54.50","2","11.96",
